============================= test session starts ==============================
platform linux -- Python 3.8.6, pytest-6.2.2, py-1.10.0, pluggy-0.13.1 -- /home/ubuntu/.virtualenvs/docker-py/bin/python
cachedir: .pytest_cache
rootdir: /home/ubuntu/docker-py, configfile: pytest.ini
plugins: cov-2.6.1, timeout-1.3.3
collecting ... collected 415 items

tests/integration/api_service_test.py::ServiceTest::test_inspect_service_by_id PASSED [ 64%]
tests/integration/api_service_test.py::ServiceTest::test_inspect_service_by_name PASSED [ 64%]
tests/integration/api_service_test.py::ServiceTest::test_inspect_service_insert_defaults PASSED [ 65%]
tests/integration/api_service_test.py::ServiceTest::test_list_services PASSED [ 65%]
tests/integration/api_service_test.py::ServiceTest::test_list_services_filter_by_label PASSED [ 65%]
tests/integration/api_service_test.py::ServiceTest::test_remove_service_by_id PASSED [ 65%]
tests/integration/api_service_test.py::ServiceTest::test_remove_service_by_name PASSED [ 66%]
tests/integration/api_service_test.py::ServiceTest::test_service_logs PASSED [ 66%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_force_update PASSED [ 66%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_remove_container_labels PASSED [ 66%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_remove_healthcheck PASSED [ 66%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_remove_labels PASSED [ 67%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_defaults_container_labels PASSED [ 67%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_defaults_endpoint_spec PASSED [ 67%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_defaults_labels PASSED [ 67%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_defaults_mode PASSED [ 68%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_defaults_name PASSED [ 68%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_defaults_networks PASSED [ 68%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_defaults_update_config PASSED [ 68%]
tests/integration/api_service_test.py::ServiceTest::test_update_service_with_network_change PASSED [ 69%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_already_in_cluster PASSED [ 69%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_custom_addr_pool_both_args PASSED [ 69%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_custom_addr_pool_defaults PASSED [ 69%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_custom_addr_pool_only_pool PASSED [ 70%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_custom_addr_pool_only_subnet_size PASSED [ 70%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_custom_raft_spec PASSED [ 70%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_data_path_addr XFAIL [ 70%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_force_new_cluster SKIPPED [ 71%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_simple PASSED [ 71%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_with_autolock_managers PASSED [ 71%]
tests/integration/api_swarm_test.py::SwarmTest::test_init_swarm_with_ca_config PASSED [ 71%]
